"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"1","A0AVT1",14.16,12,13,1.014,0.73,0.69,0.842,0.847,0.845,1.168,0.902,1.13,9,0.91,0.06,0.238,0.413
"2","A0FGR8",10.31,8,8,0.773,0.858,0.705,0.829,0.636,0.975,0.959,0.792,0.723,9,0.81,0.04,0,0.007
"3","A0JLT2",10.25,1,1,1.58,1.331,1.451,1.103,1.086,0.999,1.185,0.979,1.167,9,1.21,0.07,0.005,0.039
"4","A0MZ66",14.1,7,8,0.752,1.282,1.458,1.058,2.15,0.92,0.539,1.859,1.094,9,1.23,0.17,0.33,0.512
"5","A1L0T0",8.54,4,4,0.696,0.789,0.73,0.778,0.664,0.856,0.97,0.787,0.782,9,0.78,0.03,0,0.005
"6","A1X283",10.76,8,8,1.088,0.884,0.67,0.882,0.879,1.036,1.273,1.062,1.208,9,1,0.06,0.939,0.968
"7","A2RRH5",1.45,1,1,0.625,1.097,1.04,1.238,0.879,1.291,0.735,0.911,0.521,9,0.93,0.09,0.077,0.208
"8","A2RRP1",3.54,7,7,0.649,1.117,0.729,0.972,0.716,1.472,0.854,1.08,0.629,9,0.91,0.09,0.019,0.089
"9","A2RTX5",4.61,2,3,0,1.046,0,0,0,1.513,0,1.799,0,3,1.45,0.22,0.658,0.795
"10","A2RUR9",0.84,1,1,1.406,1.06,0,0,0,0.62,0.822,0,0,4,0.98,0.17,0.706,0.826
"11","A3KMH1",7.14,10,11,0.665,0.777,0.706,0.808,0.636,0.839,0.768,0.688,0.638,9,0.73,0.03,0,0.001
"12","A3KN83",2.08,2,2,0.656,0.679,0.465,0.767,0.708,1.107,1.068,1.017,0.985,9,0.83,0.07,0.032,0.122
"13","A4UGR9",4.86,12,13,0.639,1.156,0.857,0.768,0.791,1.05,0.58,1.371,0.793,9,0.89,0.09,0.082,0.214
"14","A5YKK6",7.58,15,15,0.93,0.69,0.843,1.063,1.035,0.879,1.27,0.902,1.227,9,0.98,0.06,0.991,0.994
"15","A6NCI8",1.84,1,1,1.06,1.715,1.174,0.951,1.014,1.373,0.848,1.456,0.903,9,1.17,0.1,0.316,0.498
"16","A6NDG6",14.02,4,4,0.686,0.712,0.624,0.695,0.692,0.783,0.957,0.776,0.999,9,0.77,0.04,0.004,0.032
"17","A6NFQ2",1.31,1,1,1.261,1.012,1.467,1.392,1.08,0.948,1.181,0.732,0.915,9,1.11,0.08,0.295,0.475
"18","A6NGB9",4.55,2,2,0.613,0.696,1.727,1.232,5.121,0.491,0.432,1.439,1.143,9,1.43,0.48,0.559,0.722
"19","A6NGH8",4.31,1,1,2.217,1.057,0,0,0,0,0,0.525,1.104,4,1.23,0.36,0.751,0.854
"20","A6NHN0",1.47,1,1,0.529,0.777,2.537,2.942,3.679,0.891,0.606,1.109,0.757,9,1.54,0.39,0.505,0.678
"21","A6NHR9",5.54,11,11,0.861,0.884,0.812,0.931,0.868,0.976,0.999,1.055,0.949,9,0.93,0.03,0.019,0.087
"22","A6NI28",1.03,1,1,0,0,1.019,0,1.223,0,0,0,0,2,0,0,0,0
"23","A6NI61",4.07,1,1,0,0,0,0,0,1.909,1.954,0,0,2,0,0,0,0
"24","A6NIH7",18.73,3,4,0.817,0.772,0.683,0.633,0.405,0.501,0.747,0.422,0.478,9,0.61,0.05,0,0.009
"25","A6NKB5",1.08,2,2,1.045,1.91,0.82,0.38,0.678,0.875,0.478,1.551,0.852,9,0.95,0.16,0.372,0.554
"26","A6NKF9",3.75,1,1,1.921,0.927,1.283,0.589,1.096,0.421,0.871,0.779,1.62,9,1.06,0.16,0.444,0.627
"27","A7E2Y1",4.43,1,13,0.276,0.442,1.741,1.518,4.24,0.381,0.238,1.059,0.663,9,1.17,0.42,0.53,0.699
"28","A7KAX9",1.82,3,3,1.321,1.459,1.375,0.984,0.944,1.032,0.933,0.985,0.895,9,1.1,0.07,0.31,0.491
"29","A8CG34",2.52,3,3,0.852,0.939,1.032,1.089,1.064,0.979,0.888,0.952,0.867,9,0.96,0.03,0.128,0.28
"30","A8MT69",9.88,1,1,0.914,1.129,0.972,1.071,0.677,1.23,0.994,0.773,0.628,9,0.93,0.07,0.062,0.183
"31","A8MU46",2.84,1,1,1.837,0,0,0,0,0,2.585,0,0,2,0,0,0,0
"32","A8MVW0",8.47,5,5,1.115,1.209,1.797,2.301,1.499,1.494,1.247,1.382,1.026,9,1.45,0.13,0.01,0.059
"33","A8MW92",1.47,1,2,0,0,0,1.199,0.776,0.853,0.611,0.549,0.395,6,0.73,0.11,0.032,0.121
"34","A8MWD9",25,2,2,1.064,1.357,1.395,1.019,1.075,1.165,0.809,0.974,0.851,9,1.08,0.07,0.649,0.79
"35","B1AJZ9",2.2,2,4,6.047,5.906,1.939,0.427,4.826,1.285,1.315,14.449,14.846,9,5.67,1.83,0.007,0.046
"36","B7ZAP0",14.62,1,3,0.862,0.788,1.261,1.37,2.034,0.846,0.924,1.25,1.371,9,1.19,0.13,0.101,0.242
"37","C4AMC7",8.42,2,3,1.023,1.003,0.817,0.961,0.939,0.853,1.188,1.133,1.16,9,1.01,0.04,0.461,0.64
"38","C9JLW8",39.18,3,3,1.139,1.209,1.523,1.434,1.603,1.133,1.077,1.251,1.183,9,1.28,0.06,0.001,0.014
"39","E7EW31",4.04,3,3,0.597,0,0.711,1.454,0.693,0,1.205,0,0.574,6,0.87,0.15,0.133,0.287
"40","E9PAV3",33.3,43,43,0.816,1.106,3.054,3.569,4.793,1.253,0.884,1.636,1.219,9,2.04,0.47,0.046,0.151
"41","H7BZ55",2.04,3,4,1.051,1.44,2.127,1.54,2.408,1.03,0.751,1.602,1.174,9,1.46,0.18,0.025,0.105
"42","O00115",6.11,2,2,0.392,0.872,0.538,0.452,0.505,0.835,0.315,0.804,0.363,9,0.56,0.07,0,0.008
"43","O00116",15.65,9,9,1.071,1.012,0.917,0.927,1.11,1.051,0.995,1.241,1.239,9,1.06,0.04,0.108,0.254
"44","O00139",16.57,9,10,0.871,0.833,0.873,1.023,0.902,0.998,1.031,0.873,0.838,9,0.92,0.03,0.003,0.03
"45","O00148",31.15,3,13,1.185,1.075,1.055,0.938,0.986,0.944,1.039,0.988,1.093,9,1.03,0.03,0.08,0.211
"46","O00151",27.36,8,8,0.632,1.309,0.969,0.829,1.26,1.365,0.483,2.276,0.846,9,1.11,0.18,0.795,0.883
"47","O00154",12.63,4,4,1.219,0.985,0.813,0.717,0.638,0.859,1.061,0.868,1.174,9,0.93,0.07,0.426,0.609
"48","O00159",9.88,9,9,0.646,0.635,0.703,1,0.871,0.847,0.913,0.863,0.801,9,0.81,0.04,0.003,0.028
"49","O00161",26.07,5,5,1.678,2.024,0.995,0.991,0.698,1.201,1.193,1.139,1.098,9,1.22,0.13,0.192,0.362
"50","O00170",22.42,5,5,1.083,0.902,0.855,0.906,0.83,1.003,1.267,0.904,1.224,9,1,0.05,0.926,0.961
"51","O00178",15.4,6,6,0.821,0.908,0.735,1.02,1.003,1.247,1.126,1.22,1.107,9,1.02,0.06,0.892,0.942
"52","O00186",9.29,5,5,0.53,0.752,0.731,0.828,0.691,1.039,0.799,0.823,0.6,9,0.75,0.05,0,0.005
"53","O00192",7.8,4,4,0,0,0,0,0,2.262,1.923,1.453,1.241,4,1.72,0.23,0.044,0.149
"54","O00193",26.23,4,4,1.198,0.982,0.899,0.797,1.189,1.018,1.046,0.864,1.576,9,1.06,0.08,0.315,0.497
"55","O00203",12.61,14,15,1.15,0.895,0.684,0.688,0.822,0.95,1.173,1.083,1.261,9,0.97,0.07,0.741,0.847
"56","O00204",2.74,1,1,1.299,1.495,1.649,1.572,1.495,1.408,1.222,1.332,1.161,9,1.4,0.05,0,0.005
