"miR_name","Other_B_Myoblast_Healthy_M180","Other_B_Myoblast_Healthy_M194","Other_B_Myoblast_Healthy_V1024","Other_B_Myoblast_DMD_M197","Other_B_Myoblast_DMD_M202","Other_B_Myoblast_DMD_M418","Other_B_Myotube_Healthy_M180","Other_B_Myotube_Healthy_M194","Other_B_Myotube_Healthy_V1024","Other_B_Myotube_DMD_M197","Other_B_Myotube_DMD_M202","Other_B_Myotube_DMD_M418","G1B_D0_Healthy_M180","G1B_D0_Healthy_M194","G1B_D0_Healthy_M398","G1B_D0_DMD_M197","G1B_D0_DMD_M202","G1B_D0_DMD_M418","G1B_D03_Healthy_M180","G1B_D03_Healthy_M194","G1B_D03_Healthy_M398","G1B_D03_DMD_M197","G1B_D03_DMD_M202","G1B_D03_DMD_M418","G1B_D10_Healthy_M180","G1B_D10_Healthy_M194","G1B_D10_Healthy_M398","G1B_D10_DMD_M197","G1B_D10_DMD_M202","G1B_D10_DMD_M418","G1B_D17_Healthy_M180","G1B_D17_Healthy_M194","G1B_D17_Healthy_M398","G1B_D17_DMD_M197","G1B_D17_DMD_M202","G1B_D17_DMD_M418","G1B_D25_Healthy_M180","G1B_D25_Healthy_M194","G1B_D25_Healthy_M398","G1B_D25_DMD_M197","G1B_D25_DMD_M202","G1B_D25_DMD_M418"
"1","MIR200B",1.35,0,0.87,0,0,161.62,1.23,1.14,2.8,0,0,4.96,517.62,154.15,641.67,355.89,28.06,615.76,149.4,21.01,68.26,22.69,4.73,97.39,1.65,4.84,24.47,0,1,1.98,1.31,4.58,8.29,0.22,4.24,4.94,8.28,10.96,12.79,4.22,3.32,4.88
"2","MIR200A",2.7,0,0,0,0,0,2.45,3.41,2.8,2.18,1.82,0,959.58,168.54,1020.08,514.37,48.1,964.53,145.07,15.97,70.25,39.32,5.32,50.34,4.11,3.39,21.75,1.36,1,2.64,3.6,2.69,5.13,2.83,4.52,2.88,5.61,6.57,5.27,2.63,2.85,6.1
"3","MIR429",0,0,0.87,0,0,0,1.23,1.14,0,0,1.82,0,302.61,94.55,470.97,216.38,24.05,295.85,54.85,0.84,39.1,10.59,4.14,16.41,1.65,0,16.77,0,0,3.3,0.98,1.35,5.13,0.44,0.85,1.65,4.01,6.57,3.01,1.05,0.47,1.22
"4","MIR551A",1.35,0,0.87,0.54,0,0,0,1.14,0,2.18,0,0,153.29,233.29,164.53,167.98,136.29,298.26,79.39,47.06,63.62,52.93,63.87,110.52,52.67,40.69,23.56,32.61,40.14,75.89,50.45,26.12,30.8,48.61,66.07,79.47,56.36,21.92,24.08,61.66,72.14,113.71
"5","AL691523.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","MIR4417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","AL356693.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","MIR4689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,2.41,0.72,0,0,0,0,0,0,0,0,0,1,0,0,1.35,0,0,0,0,0,0,0,0,0,0
"9","AL356261.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","MIR4252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","MIR34A",4345.56,5816.52,15570.98,3199.37,6805.75,4202.2,9196.16,13501.63,10204.56,9431.83,16435.1,13141.74,3396.36,4002.84,5188.86,3048.27,2691.75,3437.18,10162.5,10553.13,8641.76,12429.96,8021.92,8652.35,7157.85,5857,4613.68,7251.23,4834.34,8309.38,4606.26,4252.51,2742.02,4456.48,1788.71,5901.39,1921.79,2576.16,2907.64,3212.01,1215.91,3331.66
"12","Z98044.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","MIR5697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,1.36,4.01,0,0.33,0.54,0,0.44,0,0,0.27,0,0,0,0.47,0
"14","MIR1273D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
