"Cell_stage"	"Phenotype"	"Cell_line"	"Differentiation"	"Sample_Name"	"Expression"	"Stage.Phenotype.Cell.line"	"Phenotype.Stage"
"1"	"Myoblast"	"Healthy"	"M180"	"Other"	"Myoblast_Healthy_M180"	NA	"Myoblast Healthy M180"	"Healthy Myoblast"
"2"	"Myoblast"	"Healthy"	"M194"	"Other"	"Myoblast_Healthy_M194"	NA	"Myoblast Healthy M194"	"Healthy Myoblast"
"3"	"Myoblast"	"Healthy"	"V1024"	"Other"	"Myoblast_Healthy_V1024"	NA	"Myoblast Healthy V1024"	"Healthy Myoblast"
"4"	"Myoblast"	"DMD"	"M197"	"Other"	"Myoblast_DMD_M197"	NA	"Myoblast DMD M197"	"DMD Myoblast"
"5"	"Myoblast"	"DMD"	"M202"	"Other"	"Myoblast_DMD_M202"	NA	"Myoblast DMD M202"	"DMD Myoblast"
"6"	"Myoblast"	"DMD"	"M418"	"Other"	"Myoblast_DMD_M418"	NA	"Myoblast DMD M418"	"DMD Myoblast"
"7"	"Myotube"	"Healthy"	"M180"	"Other"	"Myotube_Healthy_M180"	NA	"Myotube Healthy M180"	"Healthy Myotube"
"8"	"Myotube"	"Healthy"	"M194"	"Other"	"Myotube_Healthy_M194"	NA	"Myotube Healthy M194"	"Healthy Myotube"
"9"	"Myotube"	"Healthy"	"V1024"	"Other"	"Myotube_Healthy_V1024"	NA	"Myotube Healthy V1024"	"Healthy Myotube"
"10"	"Myotube"	"DMD"	"M197"	"Other"	"Myotube_DMD_M197"	NA	"Myotube DMD M197"	"DMD Myotube"
"11"	"Myotube"	"DMD"	"M202"	"Other"	"Myotube_DMD_M202"	NA	"Myotube DMD M202"	"DMD Myotube"
"12"	"Myotube"	"DMD"	"M418"	"Other"	"Myotube_DMD_M418"	NA	"Myotube DMD M418"	"DMD Myotube"
"13"	"D0"	"Healthy"	"M180"	"G1"	"D0_Healthy_M180"	NA	"D0 Healthy M180"	"Healthy D0"
"14"	"D0"	"Healthy"	"M180"	"G2"	"D0_Healthy_M180"	NA	"D0 Healthy M180"	"Healthy D0"
"15"	"D0"	"Healthy"	"M180"	"G3"	"D0_Healthy_M180"	NA	"D0 Healthy M180"	"Healthy D0"
"16"	"D0"	"Healthy"	"M194"	"G1"	"D0_Healthy_M194"	NA	"D0 Healthy M194"	"Healthy D0"
"17"	"D0"	"Healthy"	"M194"	"G2"	"D0_Healthy_M194"	NA	"D0 Healthy M194"	"Healthy D0"
"18"	"D0"	"Healthy"	"M194"	"G3"	"D0_Healthy_M194"	NA	"D0 Healthy M194"	"Healthy D0"
"19"	"D0"	"Healthy"	"M398"	"G1"	"D0_Healthy_M398"	NA	"D0 Healthy M398"	"Healthy D0"
