"Cell_stage"	"Phenotype"	"Cell_line"	"Differentiation"	"Sample_Name"	"Expression"	"Stage.Phenotype.Cell.line"	"Phenotype.Stage"
"1"	"Myoblast"	"Healthy"	"M180"	"Other"	"Myoblast_Healthy_M180"	NA	"Myoblast Healthy M180"	"Healthy Myoblast"
"2"	"Myoblast"	"Healthy"	"M194"	"Other"	"Myoblast_Healthy_M194"	NA	"Myoblast Healthy M194"	"Healthy Myoblast"
"3"	"Myoblast"	"Healthy"	"V1024"	"Other"	"Myoblast_Healthy_V1024"	NA	"Myoblast Healthy V1024"	"Healthy Myoblast"
"4"	"Myoblast"	"DMD"	"M197"	"Other"	"Myoblast_DMD_M197"	NA	"Myoblast DMD M197"	"DMD Myoblast"
"5"	"Myoblast"	"DMD"	"M202"	"Other"	"Myoblast_DMD_M202"	NA	"Myoblast DMD M202"	"DMD Myoblast"
"6"	"Myoblast"	"DMD"	"M418"	"Other"	"Myoblast_DMD_M418"	NA	"Myoblast DMD M418"	"DMD Myoblast"
"7"	"Myotube"	"Healthy"	"M180"	"Other"	"Myotube_Healthy_M180"	NA	"Myotube Healthy M180"	"Healthy Myotube"
"8"	"Myotube"	"Healthy"	"M194"	"Other"	"Myotube_Healthy_M194"	NA	"Myotube Healthy M194"	"Healthy Myotube"
"9"	"Myotube"	"Healthy"	"V1024"	"Other"	"Myotube_Healthy_V1024"	NA	"Myotube Healthy V1024"	"Healthy Myotube"
"10"	"Myotube"	"DMD"	"M197"	"Other"	"Myotube_DMD_M197"	NA	"Myotube DMD M197"	"DMD Myotube"
"11"	"Myotube"	"DMD"	"M202"	"Other"	"Myotube_DMD_M202"	NA	"Myotube DMD M202"	"DMD Myotube"
"12"	"Myotube"	"DMD"	"M418"	"Other"	"Myotube_DMD_M418"	NA	"Myotube DMD M418"	"DMD Myotube"
"13"	"D0"	"Healthy"	"M180"	"G1"	"D0_Healthy_M180"	NA	"D0 Healthy M180"	"Healthy D0"
"16"	"D0"	"Healthy"	"M194"	"G1"	"D0_Healthy_M194"	NA	"D0 Healthy M194"	"Healthy D0"
"19"	"D0"	"Healthy"	"M398"	"G1"	"D0_Healthy_M398"	NA	"D0 Healthy M398"	"Healthy D0"
"22"	"D0"	"DMD"	"M197"	"G1"	"D0_DMD_M197"	NA	"D0 DMD M197"	"DMD D0"
"25"	"D0"	"DMD"	"M202"	"G1"	"D0_DMD_M202"	NA	"D0 DMD M202"	"DMD D0"
"28"	"D0"	"DMD"	"M418"	"G1"	"D0_DMD_M418"	NA	"D0 DMD M418"	"DMD D0"
"31"	"D03"	"Healthy"	"M180"	"G1"	"D03_Healthy_M180"	NA	"D03 Healthy M180"	"Healthy D03"
"34"	"D03"	"Healthy"	"M194"	"G1"	"D03_Healthy_M194"	NA	"D03 Healthy M194"	"Healthy D03"
"37"	"D03"	"Healthy"	"M398"	"G1"	"D03_Healthy_M398"	NA	"D03 Healthy M398"	"Healthy D03"
"40"	"D03"	"DMD"	"M197"	"G1"	"D03_DMD_M197"	NA	"D03 DMD M197"	"DMD D03"
"43"	"D03"	"DMD"	"M202"	"G1"	"D03_DMD_M202"	NA	"D03 DMD M202"	"DMD D03"
"46"	"D03"	"DMD"	"M418"	"G1"	"D03_DMD_M418"	NA	"D03 DMD M418"	"DMD D03"
"49"	"D10"	"Healthy"	"M180"	"G1"	"D10_Healthy_M180"	NA	"D10 Healthy M180"	"Healthy D10"
"52"	"D10"	"Healthy"	"M194"	"G1"	"D10_Healthy_M194"	NA	"D10 Healthy M194"	"Healthy D10"
"55"	"D10"	"Healthy"	"M398"	"G1"	"D10_Healthy_M398"	NA	"D10 Healthy M398"	"Healthy D10"
"58"	"D10"	"DMD"	"M197"	"G1"	"D10_DMD_M197"	NA	"D10 DMD M197"	"DMD D10"
"61"	"D10"	"DMD"	"M202"	"G1"	"D10_DMD_M202"	NA	"D10 DMD M202"	"DMD D10"
"64"	"D10"	"DMD"	"M418"	"G1"	"D10_DMD_M418"	NA	"D10 DMD M418"	"DMD D10"
"67"	"D17"	"Healthy"	"M180"	"G1"	"D17_Healthy_M180"	NA	"D17 Healthy M180"	"Healthy D17"
"70"	"D17"	"Healthy"	"M194"	"G1"	"D17_Healthy_M194"	NA	"D17 Healthy M194"	"Healthy D17"
"73"	"D17"	"Healthy"	"M398"	"G1"	"D17_Healthy_M398"	NA	"D17 Healthy M398"	"Healthy D17"
"76"	"D17"	"DMD"	"M197"	"G1"	"D17_DMD_M197"	NA	"D17 DMD M197"	"DMD D17"
"79"	"D17"	"DMD"	"M202"	"G1"	"D17_DMD_M202"	NA	"D17 DMD M202"	"DMD D17"
"82"	"D17"	"DMD"	"M418"	"G1"	"D17_DMD_M418"	NA	"D17 DMD M418"	"DMD D17"
"85"	"D25"	"Healthy"	"M180"	"G1"	"D25_Healthy_M180"	NA	"D25 Healthy M180"	"Healthy D25"
"88"	"D25"	"Healthy"	"M194"	"G1"	"D25_Healthy_M194"	NA	"D25 Healthy M194"	"Healthy D25"
"91"	"D25"	"Healthy"	"M398"	"G1"	"D25_Healthy_M398"	NA	"D25 Healthy M398"	"Healthy D25"
"94"	"D25"	"DMD"	"M197"	"G1"	"D25_DMD_M197"	NA	"D25 DMD M197"	"DMD D25"
"97"	"D25"	"DMD"	"M202"	"G1"	"D25_DMD_M202"	NA	"D25 DMD M202"	"DMD D25"
"100"	"D25"	"DMD"	"M418"	"G1"	"D25_DMD_M418"	NA	"D25 DMD M418"	"DMD D25"
