"Symbol","Ensembl","EntrezGeneID","Uniprot","Name","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"6373","UBA6","ENSG00000033178",55236,"A0AVT1","ubiquitin like modifier activating enzyme 6",14.16,12,13,1.014,0.73,0.69,0.842,0.847,0.845,1.168,0.902,1.13,9,0.91,0.06,0.238,0.413
"6374","ESYT2","ENSG00000117868",57488,"A0FGR8","extended synaptotagmin 2",10.31,8,8,0.773,0.858,0.705,0.829,0.636,0.975,0.959,0.792,0.723,9,0.81,0.04,0,0.007
"6377","MED19","ENSG00000156603",219541,"A0JLT2","mediator complex subunit 19",10.25,1,1,1.58,1.331,1.451,1.103,1.086,0.999,1.185,0.979,1.167,9,1.21,0.07,0.005,0.039
"6389","SHTN1","ENSG00000187164",57698,"A0MZ66","shootin 1",14.1,7,8,0.752,1.282,1.458,1.058,2.15,0.92,0.539,1.859,1.094,9,1.23,0.17,0.33,0.512
"6481","ILVBL","ENSG00000105135",10994,"A1L0T0","ilvB acetolactate synthase like",8.54,4,4,0.696,0.789,0.73,0.778,0.664,0.856,0.97,0.787,0.782,9,0.78,0.03,0,0.005
"6517","SH3PXD2B","ENSG00000174705",285590,"A1X283","SH3 and PX domains 2B",10.76,8,8,1.088,0.884,0.67,0.882,0.879,1.036,1.273,1.062,1.208,9,1,0.06,0.939,0.968
"6593","WDR27","ENSG00000184465",253769,"A2RRH5","WD repeat domain 27",1.45,1,1,0.625,1.097,1.04,1.238,0.879,1.291,0.735,0.911,0.521,9,0.93,0.09,0.077,0.208
"6596","NBAS","ENSG00000151779",51594,"A2RRP1","NBAS subunit of NRZ tethering complex",3.54,7,7,0.649,1.117,0.729,0.972,0.716,1.472,0.854,1.08,0.629,9,0.91,0.09,0.019,0.089
"6599","TARS3","ENSG00000185418",123283,"A2RTX5","threonyl-tRNA synthetase 3",4.61,2,3,0,1.046,0,0,0,1.513,0,1.799,0,3,1.45,0.22,0.658,0.795
"6621","CCDC144A","ENSG00000170160",9720,"A2RUR9","coiled-coil domain containing 144A",0.84,1,1,1.406,1.06,0,0,0,0.62,0.822,0,0,4,0.98,0.17,0.706,0.826
"6644","VWA8","ENSG00000102763",23078,"A3KMH1","von Willebrand factor A domain containing 8",7.14,10,11,0.665,0.777,0.706,0.808,0.636,0.839,0.768,0.688,0.638,9,0.73,0.03,0,0.001
"6646","SBNO1","ENSG00000139697",55206,"A3KN83","strawberry notch homolog 1",2.08,2,2,0.656,0.679,0.465,0.767,0.708,1.107,1.068,1.017,0.985,9,0.83,0.07,0.032,0.122
"6786","XIRP2","ENSG00000163092",129446,"A4UGR9","xin actin binding repeat containing 2",4.86,12,13,0.639,1.156,0.857,0.768,0.791,1.05,0.58,1.371,0.793,9,0.89,0.09,0.082,0.214
"6838","CNOT1","ENSG00000125107",23019,"A5YKK6","CCR4-NOT transcription complex subunit 1",7.58,15,15,0.93,0.69,0.843,1.063,1.035,0.879,1.27,0.902,1.227,9,0.98,0.06,0.991,0.994
"6885","C2orf78","ENSG00000187833",388960,"A6NCI8","chromosome 2 open reading frame 78",1.84,1,1,1.06,1.715,1.174,0.951,1.014,1.373,0.848,1.456,0.903,9,1.17,0.1,0.316,0.498
"6914","PGP","ENSG00000184207",283871,"A6NDG6","phosphoglycolate phosphatase",14.02,4,4,0.686,0.712,0.624,0.695,0.692,0.783,0.957,0.776,0.999,9,0.77,0.04,0.004,0.032
"6969","TCAF2","ENSG00000170379",285966,"A6NFQ2","TRPM8 channel associated factor 2",1.31,1,1,1.261,1.012,1.467,1.392,1.08,0.948,1.181,0.732,0.915,9,1.11,0.08,0.295,0.475
"6989","WIPF3","ENSG00000122574",644150,"A6NGB9","WAS/WASL interacting protein family member 3",4.55,2,2,0.613,0.696,1.727,1.232,5.121,0.491,0.432,1.439,1.143,9,1.43,0.48,0.559,0.722
"6997","ANKRD61","ENSG00000157999",100310846,"A6NGH8","ankyrin repeat domain 61",4.31,1,1,2.217,1.057,0,0,0,0,0,0.525,1.104,4,1.23,0.36,0.751,0.854
