"symbol"	"ensembl"	"entrezgeneid"	"human_mirbase_id"	"human_mirbase_name"	"name"	"chr"	"strand"
"1"	NA	NA	NA	"MIMAT0000416_1"	"hsa-miR-1-3p"	NA	NA	NA
"2"	NA	NA	NA	"MIMAT0031892"	"hsa-miR-1-5p"	NA	NA	NA
"3"	NA	NA	NA	"MIMAT0000416"	"hsa-miR-1-3p"	NA	NA	NA
"4"	"MIR1-1HG"	"ENSG00000174407"	128826	"MI0000651"	"hsa-mir-1-1"	"MIR1-1 host gene"	"chr20"	"+"
"5"	"MIR1-1"	"ENSG00000199017"	406904	"MI0000651"	"hsa-mir-1-1"	"microRNA 1-1"	"chr20"	"+"
"6"	"MIR1-1HG-AS1"	NA	253868	NA	NA	"MIR1-1HG antisense RNA 1"	"chr20"	"-"
"7"	"MIR1-2"	"ENSG00000284453"	406905	"MI0000437"	"hsa-mir-1-2"	"microRNA 1-2"	"chr18"	"-"
"8"	"MIR100"	"ENSG00000207994"	406892	"MIMAT0000098"	"hsa-miR-100-5p"	"microRNA 100"	"chr11"	"-"
"9"	"MIR100"	"ENSG00000207994"	406892	"MIMAT0004512"	"hsa-miR-100-3p"	"microRNA 100"	"chr11"	"-"
"10"	"MIR100"	"ENSG00000207994"	406892	"MI0000102"	"hsa-mir-100"	"microRNA 100"	"chr11"	"-"
"11"	"MIR100HG"	"ENSG00000255248"	399959	"MIMAT0000098"	"hsa-miR-100-5p"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"	"chr11"	"-"
"12"	"MIR100HG"	"ENSG00000255248"	399959	"MIMAT0004512"	"hsa-miR-100-3p"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"	"chr11"	"-"
"13"	"MIR100HG"	"ENSG00000255248"	399959	"MI0000102"	"hsa-mir-100"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"	"chr11"	"-"
"14"	NA	NA	NA	"MIMAT0000099"	"hsa-miR-101-3p"	NA	NA	NA
"15"	NA	NA	NA	"MIMAT0004513"	"hsa-miR-101-5p"	NA	NA	NA
"16"	NA	NA	NA	"MIMAT0000099_1"	"hsa-miR-101-3p"	NA	NA	NA
"17"	"MIR101-1"	"ENSG00000199135"	406893	"MI0000103"	"hsa-mir-101-1"	"microRNA 101-1"	"chr1"	"-"
"20"	"MIR101-2"	"ENSG00000199065"	406894	"MI0000739"	"hsa-mir-101-2"	"microRNA 101-2"	"chr9"	"+"
"21"	"MIR101-2"	"ENSG00000199065"	406894	"MIMAT0037312"	"hsa-miR-101-2-5p"	"microRNA 101-2"	"chr9"	"+"
"22"	"MIR10226"	NA	113218499	"MI0033056"	"hsa-mir-10226"	"microRNA 10226"	NA	NA
"23"	"MIR10226"	NA	113218499	"MIMAT0041128"	"hsa-miR-10226"	"microRNA 10226"	NA	NA
"24"	"MIR10392"	NA	113218486	"MIMAT0041616"	"hsa-miR-10392-3p"	"microRNA 10392"	NA	NA
"25"	"MIR10392"	NA	113218486	"MIMAT0041615"	"hsa-miR-10392-5p"	"microRNA 10392"	NA	NA
"26"	"MIR10392"	NA	113218486	"MI0033416"	"hsa-mir-10392"	"microRNA 10392"	NA	NA
"27"	"MIR10393"	NA	113218500	"MI0033417"	"hsa-mir-10393"	"microRNA 10393"	NA	NA
"28"	"MIR10393"	NA	113218500	"MIMAT0041617"	"hsa-miR-10393-5p"	"microRNA 10393"	NA	NA
"29"	"MIR10393"	NA	113218500	"MIMAT0041618"	"hsa-miR-10393-3p"	"microRNA 10393"	NA	NA
"30"	"MIR10394"	NA	113218487	"MI0033418"	"hsa-mir-10394"	"microRNA 10394"	"chr19"	"+"
"31"	"MIR10394"	NA	113218487	"MIMAT0041620"	"hsa-miR-10394-3p"	"microRNA 10394"	"chr19"	"+"
"32"	"MIR10394"	NA	113218487	"MIMAT0041619"	"hsa-miR-10394-5p"	"microRNA 10394"	"chr19"	"+"
"33"	"MIR10395"	NA	114482358	"MIMAT0041622"	"hsa-miR-10395-3p"	"microRNA mir-10395"	NA	NA
"34"	"MIR10395"	NA	114482358	"MIMAT0041621"	"hsa-miR-10395-5p"	"microRNA mir-10395"	NA	NA
"35"	"MIR10395"	NA	114482358	"MI0033419"	"hsa-mir-10395"	"microRNA mir-10395"	NA	NA
"36"	NA	NA	NA	"MI0033420"	"hsa-mir-10396a"	NA	NA	NA
"37"	NA	NA	NA	"MIMAT0041624"	"hsa-miR-10396a-3p"	NA	NA	NA
"38"	NA	NA	NA	"MIMAT0041623"	"hsa-miR-10396a-5p"	NA	NA	NA
"39"	"MIR10396A"	NA	113218501	NA	NA	"microRNA 10396a"	NA	NA
"40"	NA	NA	NA	"MIMAT0041636"	"hsa-miR-10396b-3p"	NA	NA	NA
"41"	NA	NA	NA	"MIMAT0041635"	"hsa-miR-10396b-5p"	NA	NA	NA
"42"	NA	NA	NA	"MI0033426"	"hsa-mir-10396b"	NA	NA	NA
"43"	"MIR10396B"	NA	113218488	NA	NA	"microRNA 10396b"	NA	NA
"44"	"MIR10397"	NA	113218502	"MIMAT0041625"	"hsa-miR-10397-5p"	"microRNA 10397"	NA	NA
"45"	"MIR10397"	NA	113218502	"MI0033421"	"hsa-mir-10397"	"microRNA 10397"	NA	NA
"46"	"MIR10397"	NA	113218502	"MIMAT0041626"	"hsa-miR-10397-3p"	"microRNA 10397"	NA	NA
"47"	"MIR10398"	NA	113218489	"MIMAT0041628"	"hsa-miR-10398-3p"	"microRNA 10398"	NA	NA
"48"	"MIR10398"	NA	113218489	"MI0033422"	"hsa-mir-10398"	"microRNA 10398"	NA	NA
"49"	"MIR10398"	NA	113218489	"MIMAT0041627"	"hsa-miR-10398-5p"	"microRNA 10398"	NA	NA
"50"	"MIR10399"	NA	113218503	"MI0033423"	"hsa-mir-10399"	"microRNA 10399"	NA	NA
"51"	"MIR10399"	NA	113218503	"MIMAT0041630"	"hsa-miR-10399-3p"	"microRNA 10399"	NA	NA
"52"	"MIR10399"	NA	113218503	"MIMAT0041629"	"hsa-miR-10399-5p"	"microRNA 10399"	NA	NA
"53"	NA	NA	NA	"MIMAT0000101_1"	"hsa-miR-103a-3p"	NA	NA	NA
"54"	NA	NA	NA	"MIMAT0000101"	"hsa-miR-103a-3p"	NA	NA	NA
"55"	NA	NA	NA	"MI0000109"	"hsa-mir-103a-1"	NA	NA	NA
"56"	NA	NA	NA	"MIMAT0037306"	"hsa-miR-103a-1-5p"	NA	NA	NA
